location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Lake Isabellashire,error,21.22,21.22,21.22,988.65,988.65,988.65,0.435,0.435,0.435,1
Lake Lindahaven,active,23.0,23.0,23.0,1010.25,1010.25,1010.25,0.273,0.273,0.273,1
Lake Nicole,maintenance,33.6,33.6,33.6,988.4,988.4,988.4,0.962,0.962,0.962,1
Lake Sheilahaven,error,34.61,34.61,34.61,1002.01,1002.01,1002.01,0.727,0.727,0.727,1
Leehaven,error,22.75,22.75,22.75,1006.91,1006.91,1006.91,0.928,0.928,0.928,1
Lewisshire,active,34.37,34.37,34.37,1018.7,1018.7,1018.7,0.884,0.884,0.884,1
Markburgh,error,21.52,21.52,21.52,984.55,984.55,984.55,0.296,0.296,0.296,1
Martinezburgh,active,28.37,28.37,28.37,989.86,989.86,989.86,0.091,0.091,0.091,1
Mcleanberg,active,20.26,20.26,20.26,1003.26,1003.26,1003.26,0.5,0.5,0.5,1
Michaelfurt,active,33.92,33.92,33.92,1019.75,1019.75,1019.75,0.07,0.07,0.07,1
New Anthony,active,30.46,30.46,30.46,1019.14,1019.14,1019.14,0.774,0.774,0.774,1
New Brett,maintenance,23.12,23.12,23.12,1019.67,1019.67,1019.67,0.351,0.351,0.351,1
New Christopher,error,33.48,33.48,33.48,998.86,998.86,998.86,0.004,0.004,0.004,1
New Derekport,maintenance,29.16,29.16,29.16,1017.46,1017.46,1017.46,0.478,0.478,0.478,1
North Amanda,error,33.27,33.27,33.27,987.51,987.51,987.51,0.654,0.654,0.654,1
North Brendamouth,active,33.52,33.52,33.52,991.3,991.3,991.3,0.472,0.472,0.472,1
North Erin,error,34.22,34.22,34.22,1015.47,1015.47,1015.47,0.919,0.919,0.919,1
North Geraldmouth,maintenance,33.85,33.85,33.85,1003.28,1003.28,1003.28,0.311,0.311,0.311,1
North Jenniferton,error,30.95,30.95,30.95,1018.18,1018.18,1018.18,0.532,0.532,0.532,1
North Jerryport,error,33.41,33.41,33.41,986.04,986.04,986.04,0.097,0.097,0.097,1
North Meghanberg,error,28.04,28.04,28.04,996.26,996.26,996.26,0.181,0.181,0.181,1
North Paulberg,maintenance,22.16,22.16,22.16,1011.58,1011.58,1011.58,0.204,0.204,0.204,1
Novakbury,error,27.46,27.46,27.46,984.58,984.58,984.58,0.821,0.821,0.821,1
Paulport,active,33.13,33.13,33.13,996.75,996.75,996.75,0.922,0.922,0.922,1
Perezfurt,error,34.42,34.42,34.42,981.68,981.68,981.68,0.175,0.175,0.175,1
Port Adam,active,24.58,24.58,24.58,1015.91,1015.91,1015.91,0.277,0.277,0.277,1
Port Benjamin,active,28.99,28.99,28.99,1010.13,1010.13,1010.13,0.442,0.442,0.442,1
Port Ericfurt,error,26.79,26.79,26.79,1015.95,1015.95,1015.95,0.343,0.343,0.343,1
Port Jeffreystad,active,29.48,29.48,29.48,1017.94,1017.94,1017.94,0.848,0.848,0.848,1
Port Kristenmouth,error,23.66,23.66,23.66,1008.76,1008.76,1008.76,0.786,0.786,0.786,1
Port Leah,error,33.54,33.54,33.54,984.57,984.57,984.57,0.953,0.953,0.953,1
Port Timothy,active,20.38,20.38,20.38,1001.13,1001.13,1001.13,0.901,0.901,0.901,1
Rodriguezhaven,error,25.32,25.32,25.32,1002.54,1002.54,1002.54,0.394,0.394,0.394,1
Samuelshire,maintenance,21.39,21.39,21.39,1010.19,1010.19,1010.19,0.59,0.59,0.59,1
Sanchezfurt,maintenance,21.57,21.57,21.57,1016.62,1016.62,1016.62,0.452,0.452,0.452,1
Sherryburgh,active,27.74,27.74,27.74,985.29,985.29,985.29,0.157,0.157,0.157,1
Smithberg,maintenance,29.07,29.07,29.07,987.36,987.36,987.36,0.717,0.717,0.717,1
South Brandihaven,active,22.66,22.66,22.66,1007.01,1007.01,1007.01,0.583,0.583,0.583,1
South Cassidy,error,27.8,27.8,27.8,984.03,984.03,984.03,0.172,0.172,0.172,1
South Daltonberg,maintenance,23.66,23.66,23.66,990.51,990.51,990.51,0.861,0.861,0.861,1
South Erin,active,26.53,26.53,26.53,992.35,992.35,992.35,0.69,0.69,0.69,1
South Jeannehaven,active,24.19,24.19,24.19,1015.58,1015.58,1015.58,0.634,0.634,0.634,1
South Laura,active,29.93,29.93,29.93,985.2,985.2,985.2,0.114,0.114,0.114,1
South Markberg,error,33.33,33.33,33.33,1017.59,1017.59,1017.59,0.626,0.626,0.626,1
South Meagan,maintenance,26.71,26.71,26.71,1005.46,1005.46,1005.46,0.114,0.114,0.114,1
South Michelle,maintenance,34.81,34.81,34.81,992.94,992.94,992.94,0.72,0.72,0.72,1
South Natalieshire,maintenance,24.31,24.31,24.31,984.41,984.41,984.41,0.896,0.896,0.896,1
South Robertbury,error,20.11,20.11,20.11,999.68,999.68,999.68,0.842,0.842,0.842,1
South William,active,34.05,34.05,34.05,1002.16,1002.16,1002.16,0.423,0.423,0.423,1
Stefanieborough,maintenance,23.22,23.22,23.22,992.51,992.51,992.51,0.981,0.981,0.981,1
Suzannebury,active,30.04,30.04,30.04,1000.02,1000.02,1000.02,0.757,0.757,0.757,1
Tamaraland,maintenance,34.49,34.49,34.49,992.91,992.91,992.91,0.012,0.012,0.012,1
Thomasberg,active,30.85,30.85,30.85,999.67,999.67,999.67,0.371,0.371,0.371,1
Tiffanymouth,error,20.43,20.43,20.43,995.05,995.05,995.05,0.359,0.359,0.359,1
Tonimouth,error,30.7,30.7,30.7,988.0,988.0,988.0,0.365,0.365,0.365,1
Travisbury,error,30.33,30.33,30.33,1018.37,1018.37,1018.37,0.404,0.404,0.404,1
West Bobby,maintenance,27.8,27.8,27.8,980.27,980.27,980.27,0.06,0.06,0.06,1
West Derek,maintenance,22.42,22.42,22.42,1003.6,1003.6,1003.6,0.005,0.005,0.005,1
West Jamesland,maintenance,26.74,26.74,26.74,1017.75,1017.75,1017.75,0.195,0.195,0.195,1
West Jason,active,34.9,34.9,34.9,997.2,997.2,997.2,0.305,0.305,0.305,1
West Jennifer,active,26.87,26.87,26.87,1017.2,1017.2,1017.2,0.267,0.267,0.267,1
West Nathan,error,21.09,21.09,21.09,1003.91,1003.91,1003.91,0.717,0.717,0.717,1
West Paige,maintenance,30.35,30.35,30.35,991.92,991.92,991.92,0.653,0.653,0.653,1
West Paulstad,maintenance,22.63,22.63,22.63,1009.97,1009.97,1009.97,0.328,0.328,0.328,1
West Rebekah,active,22.34,22.34,22.34,981.08,981.08,981.08,0.732,0.732,0.732,1
West Sherriton,error,20.02,20.02,20.02,1017.12,1017.12,1017.12,0.521,0.521,0.521,1
Williammouth,maintenance,23.18,23.18,23.18,1015.66,1015.66,1015.66,0.706,0.706,0.706,1
