location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Port Emilyside,active,26.55,26.55,26.55,989.13,989.13,989.13,0.092,0.092,0.092,1
Port Jessica,error,33.22,33.22,33.22,1001.75,1001.75,1001.75,0.223,0.223,0.223,1
Port Jessicaberg,error,22.16,22.16,22.16,981.67,981.67,981.67,0.539,0.539,0.539,1
Port Michaelstad,error,23.69,23.69,23.69,988.86,988.86,988.86,0.805,0.805,0.805,1
Port Roberto,error,34.18,34.18,34.18,986.25,986.25,986.25,0.758,0.758,0.758,1
Port Suzanne,maintenance,28.54,28.54,28.54,1009.38,1009.38,1009.38,0.997,0.997,0.997,1
Ramosside,error,21.8,21.8,21.8,981.29,981.29,981.29,0.098,0.098,0.098,1
Riversport,active,33.16,33.16,33.16,985.79,985.79,985.79,0.447,0.447,0.447,1
Robertmouth,active,29.41,29.41,29.41,995.52,995.52,995.52,0.392,0.392,0.392,1
Robinsonview,active,21.91,21.91,21.91,996.88,996.88,996.88,0.599,0.599,0.599,1
Serranochester,error,26.29,26.29,26.29,1014.97,1014.97,1014.97,0.528,0.528,0.528,1
South April,maintenance,30.3,30.3,30.3,993.04,993.04,993.04,0.356,0.356,0.356,1
South Cody,active,34.48,34.48,34.48,1011.75,1011.75,1011.75,0.9,0.9,0.9,1
South Heather,active,25.8,25.8,25.8,988.21,988.21,988.21,0.79,0.79,0.79,1
South Jennifer,error,22.87,22.87,22.87,986.53,986.53,986.53,0.208,0.208,0.208,1
South Mark,active,21.11,21.11,21.11,989.65,989.65,989.65,0.401,0.401,0.401,1
South Nicholashaven,maintenance,27.17,27.17,27.17,1006.36,1006.36,1006.36,0.853,0.853,0.853,1
South Nicoleville,maintenance,30.64,30.64,30.64,1001.26,1001.26,1001.26,0.55,0.55,0.55,1
South Rebeccaland,maintenance,25.34,25.34,25.34,1013.37,1013.37,1013.37,0.355,0.355,0.355,1
South Roy,active,23.89,23.89,23.89,999.47,999.47,999.47,0.968,0.968,0.968,1
Stephanieberg,error,24.88,24.88,24.88,1008.04,1008.04,1008.04,0.909,0.909,0.909,1
Stoneton,maintenance,33.81,33.81,33.81,1014.66,1014.66,1014.66,0.416,0.416,0.416,1
Timothyville,maintenance,28.29,28.29,28.29,1012.98,1012.98,1012.98,0.584,0.584,0.584,1
Vickitown,maintenance,25.91,25.91,25.91,1019.9,1019.9,1019.9,0.432,0.432,0.432,1
Victorshire,maintenance,20.77,20.77,20.77,1019.14,1019.14,1019.14,0.209,0.209,0.209,1
Walkerton,maintenance,26.84,26.84,26.84,998.79,998.79,998.79,0.944,0.944,0.944,1
Watsonburgh,error,28.88,28.88,28.88,1014.24,1014.24,1014.24,0.397,0.397,0.397,1
West Cynthia,active,21.71,21.71,21.71,997.78,997.78,997.78,0.476,0.476,0.476,1
West Jeffreyfort,error,30.36,30.36,30.36,1018.51,1018.51,1018.51,0.077,0.077,0.077,1
West Joan,active,20.25,20.25,20.25,1007.66,1007.66,1007.66,0.745,0.745,0.745,1
West Kyle,active,28.73,28.73,28.73,982.91,982.91,982.91,0.152,0.152,0.152,1
West Martin,error,34.13,34.13,34.13,1004.68,1004.68,1004.68,0.684,0.684,0.684,1
West Michael,error,24.97,24.97,24.97,996.01,996.01,996.01,0.457,0.457,0.457,1
West Thomashaven,active,32.38,32.38,32.38,994.66,994.66,994.66,0.183,0.183,0.183,1
West Tracey,error,31.87,31.87,31.87,991.91,991.91,991.91,0.362,0.362,0.362,1
Williamland,maintenance,31.92,31.92,31.92,997.15,997.15,997.15,0.989,0.989,0.989,1
Wiseland,active,23.43,23.43,23.43,1018.48,1018.48,1018.48,0.156,0.156,0.156,1
Wongside,active,27.52,27.52,27.52,984.39,984.39,984.39,0.734,0.734,0.734,1
