location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
East Joshuaburgh,error,33.62,33.62,33.62,988.74,988.74,988.74,0.676,0.676,0.676,1
East Robert,maintenance,26.86,26.86,26.86,1014.26,1014.26,1014.26,0.677,0.677,0.677,1
East Timothy,error,22.85,22.85,22.85,1005.57,1005.57,1005.57,0.104,0.104,0.104,1
Eddieborough,error,31.53,31.53,31.53,1004.11,1004.11,1004.11,0.592,0.592,0.592,1
Erinmouth,active,34.2,34.2,34.2,989.86,989.86,989.86,0.978,0.978,0.978,1
Gibbsside,error,26.64,26.64,26.64,1013.96,1013.96,1013.96,0.185,0.185,0.185,1
Gregoryview,error,22.65,22.65,22.65,1008.52,1008.52,1008.52,0.104,0.104,0.104,1
Heathertown,error,21.03,21.03,21.03,1000.72,1000.72,1000.72,0.512,0.512,0.512,1
Henryshire,maintenance,25.23,25.23,25.23,986.83,986.83,986.83,0.009,0.009,0.009,1
Hoffmanhaven,maintenance,21.32,21.32,21.32,990.73,990.73,990.73,0.731,0.731,0.731,1
Hopkinsville,active,24.11,24.11,24.11,1005.21,1005.21,1005.21,0.492,0.492,0.492,1
Isaiahfurt,error,33.6,33.6,33.6,980.59,980.59,980.59,0.253,0.253,0.253,1
Jacksonville,error,26.29,26.29,26.29,1017.15,1017.15,1017.15,0.234,0.234,0.234,1
Jenniferburgh,active,24.31,24.31,24.31,1016.67,1016.67,1016.67,0.68,0.68,0.68,1
Jenniferport,error,30.48,30.48,30.48,1013.18,1013.18,1013.18,0.191,0.191,0.191,1
Jesseburgh,maintenance,26.85,26.85,26.85,996.68,996.68,996.68,0.104,0.104,0.104,1
Jessefurt,active,28.72,28.72,28.72,981.09,981.09,981.09,0.7,0.7,0.7,1
Joanberg,active,24.77,24.77,24.77,1011.49,1011.49,1011.49,0.989,0.989,0.989,1
Jonathanhaven,error,26.32,26.32,26.32,1016.09,1016.09,1016.09,0.711,0.711,0.711,1
Kaylamouth,active,30.93,30.93,30.93,1005.45,1005.45,1005.45,0.394,0.394,0.394,1
Knightside,active,23.36,23.36,23.36,981.21,981.21,981.21,0.125,0.125,0.125,1
Lake Cassandra,error,25.73,25.73,25.73,1016.1,1016.1,1016.1,0.44,0.44,0.44,1
Lake Edwardmouth,error,22.89,22.89,22.89,1001.32,1001.32,1001.32,0.386,0.386,0.386,1
Lake Jasonport,active,26.83,26.83,26.83,992.68,992.68,992.68,0.534,0.534,0.534,1
Lake Meghan,error,31.82,31.82,31.82,1002.09,1002.09,1002.09,0.422,0.422,0.422,1
Lake Meghanhaven,maintenance,23.54,23.54,23.54,1004.74,1004.74,1004.74,0.338,0.338,0.338,1
Lake Michaelton,error,34.56,34.56,34.56,1000.84,1000.84,1000.84,0.458,0.458,0.458,1
Lake Sarahland,active,33.5,33.5,33.5,992.98,992.98,992.98,0.274,0.274,0.274,1
Lanetown,maintenance,31.48,31.48,31.48,982.87,982.87,982.87,0.592,0.592,0.592,1
Madisonton,maintenance,28.92,28.92,28.92,1006.79,1006.79,1006.79,0.774,0.774,0.774,1
Martinburgh,error,21.54,21.54,21.54,982.27,982.27,982.27,0.729,0.729,0.729,1
Meghanmouth,maintenance,30.44,30.44,30.44,1002.53,1002.53,1002.53,0.362,0.362,0.362,1
Melissaborough,error,20.69,20.69,20.69,1013.36,1013.36,1013.36,0.985,0.985,0.985,1
Melissafort,error,21.1,21.1,21.1,989.36,989.36,989.36,0.232,0.232,0.232,1
Michaelstad,active,23.73,23.73,23.73,995.87,995.87,995.87,0.359,0.359,0.359,1
Michaeltown,maintenance,28.31,28.31,28.31,1001.1,1001.1,1001.1,0.628,0.628,0.628,1
New Audrey,active,31.84,31.84,31.84,989.52,989.52,989.52,0.433,0.433,0.433,1
New Clintonmouth,active,26.93,26.93,26.93,998.13,998.13,998.13,0.021,0.021,0.021,1
New Daniel,active,28.07,28.07,28.07,993.16,993.16,993.16,0.142,0.142,0.142,1
New Jamesfort,active,26.78,26.78,26.78,982.88,982.88,982.88,0.453,0.453,0.453,1
New Jason,active,29.7,29.7,29.7,1002.58,1002.58,1002.58,0.465,0.465,0.465,1
New John,error,34.82,34.82,34.82,1009.07,1009.07,1009.07,0.072,0.072,0.072,1
New Margaret,maintenance,31.98,31.98,31.98,985.15,985.15,985.15,0.662,0.662,0.662,1
New Vanessa,maintenance,28.73,28.73,28.73,1005.22,1005.22,1005.22,0.534,0.534,0.534,1
New Walter,error,34.19,34.19,34.19,1004.51,1004.51,1004.51,0.951,0.951,0.951,1
North Cynthia,error,25.74,25.74,25.74,1017.52,1017.52,1017.52,0.082,0.082,0.082,1
North Danielland,maintenance,33.15,33.15,33.15,1011.17,1011.17,1011.17,0.142,0.142,0.142,1
North Daniellechester,maintenance,25.59,25.59,25.59,995.15,995.15,995.15,0.129,0.129,0.129,1
North Jayport,maintenance,31.94,31.94,31.94,1000.35,1000.35,1000.35,0.931,0.931,0.931,1
North Shirley,active,21.97,21.97,21.97,998.39,998.39,998.39,0.157,0.157,0.157,1
Patelfort,maintenance,28.92,28.92,28.92,991.19,991.19,991.19,0.389,0.389,0.389,1
Paulaview,maintenance,27.13,27.13,27.13,987.83,987.83,987.83,0.476,0.476,0.476,1
Perryhaven,error,21.28,21.28,21.28,997.77,997.77,997.77,0.027,0.027,0.027,1
Petersview,active,34.8,34.8,34.8,992.91,992.91,992.91,0.258,0.258,0.258,1
Pittschester,active,28.98,28.98,28.98,1007.84,1007.84,1007.84,0.741,0.741,0.741,1
Port Jeff,error,20.6,20.6,20.6,1006.05,1006.05,1006.05,0.981,0.981,0.981,1
Port Jeffrey,error,31.68,31.68,31.68,1013.29,1013.29,1013.29,0.459,0.459,0.459,1
Port Johnside,error,29.94,29.94,29.94,998.0,998.0,998.0,0.137,0.137,0.137,1
Port Kevin,active,26.48,26.48,26.48,1017.96,1017.96,1017.96,0.35,0.35,0.35,1
Port Mark,active,28.52,28.52,28.52,996.98,996.98,996.98,0.824,0.824,0.824,1
Port Sandrastad,error,26.13,26.13,26.13,994.56,994.56,994.56,0.162,0.162,0.162,1
Reyesborough,maintenance,28.94,28.94,28.94,999.3,999.3,999.3,0.719,0.719,0.719,1
Riggsmouth,error,21.89,21.89,21.89,997.87,997.87,997.87,0.213,0.213,0.213,1
Robertburgh,maintenance,22.27,22.27,22.27,1018.55,1018.55,1018.55,0.41,0.41,0.41,1
Royburgh,active,27.78,27.78,27.78,1014.33,1014.33,1014.33,0.234,0.234,0.234,1
Saratown,maintenance,22.47,22.47,22.47,1019.01,1019.01,1019.01,0.933,0.933,0.933,1
Scottport,error,20.6,20.6,20.6,992.58,992.58,992.58,0.696,0.696,0.696,1
South Jimmy,active,34.58,34.58,34.58,1011.05,1011.05,1011.05,0.148,0.148,0.148,1
South Jonathan,maintenance,30.59,30.59,30.59,1016.92,1016.92,1016.92,0.335,0.335,0.335,1
South Michelle,maintenance,22.94,22.94,22.94,981.68,981.68,981.68,0.237,0.237,0.237,1
South Nancyfurt,error,25.83,25.83,25.83,991.6,991.6,991.6,0.95,0.95,0.95,1
South Thomas,maintenance,29.71,29.71,29.71,1016.11,1016.11,1016.11,0.743,0.743,0.743,1
Torresberg,maintenance,29.49,29.49,29.49,991.5,991.5,991.5,0.806,0.806,0.806,1
Tracyberg,active,22.53,22.53,22.53,981.26,981.26,981.26,0.627,0.627,0.627,1
Troychester,maintenance,23.24,23.24,23.24,1012.38,1012.38,1012.38,0.464,0.464,0.464,1
West Jonburgh,active,23.56,23.56,23.56,990.66,990.66,990.66,0.851,0.851,0.851,1
West Julie,active,23.08,23.08,23.08,996.72,996.72,996.72,0.501,0.501,0.501,1
West Monica,active,20.22,20.22,20.22,981.73,981.73,981.73,0.144,0.144,0.144,1
Wilsonchester,maintenance,34.5,34.5,34.5,997.03,997.03,997.03,0.8,0.8,0.8,1
Yorkborough,active,34.7,34.7,34.7,986.39,986.39,986.39,0.249,0.249,0.249,1
