location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Livingstonview,maintenance,21.7,21.7,21.7,1000.51,1000.51,1000.51,0.012,0.012,0.012,1
Lopezside,maintenance,28.03,28.03,28.03,1015.45,1015.45,1015.45,0.151,0.151,0.151,1
Madisonfurt,error,32.59,32.59,32.59,1011.57,1011.57,1011.57,0.381,0.381,0.381,1
Martinezfurt,maintenance,29.32,29.32,29.32,1006.53,1006.53,1006.53,0.79,0.79,0.79,1
Melissaberg,maintenance,29.11,29.11,29.11,992.32,992.32,992.32,0.923,0.923,0.923,1
Melissastad,error,31.9,31.9,31.9,990.19,990.19,990.19,0.804,0.804,0.804,1
Melissatown,maintenance,29.01,29.01,29.01,983.04,983.04,983.04,0.865,0.865,0.865,1
Middletonstad,error,23.27,23.27,23.27,982.84,982.84,982.84,0.857,0.857,0.857,1
Millerfort,active,28.93,28.93,28.93,991.56,991.56,991.56,0.525,0.525,0.525,1
Millerville,maintenance,23.24,23.24,23.24,983.06,983.06,983.06,0.791,0.791,0.791,1
Moranmouth,maintenance,32.67,32.67,32.67,981.49,981.49,981.49,0.678,0.678,0.678,1
Mortonbury,maintenance,29.42,29.42,29.42,1007.15,1007.15,1007.15,0.409,0.409,0.409,1
Munozside,active,27.95,27.95,27.95,1002.69,1002.69,1002.69,0.982,0.982,0.982,1
Nancymouth,active,34.43,34.43,34.43,1000.21,1000.21,1000.21,0.774,0.774,0.774,1
New Jennifermouth,active,21.03,21.03,21.03,1013.43,1013.43,1013.43,0.435,0.435,0.435,1
New Jeremyton,maintenance,33.03,33.03,33.03,980.46,980.46,980.46,0.652,0.652,0.652,1
New Madison,active,30.66,30.66,30.66,983.02,983.02,983.02,0.944,0.944,0.944,1
New Michaelberg,error,26.79,26.79,26.79,983.09,983.09,983.09,0.961,0.961,0.961,1
New Stacychester,active,20.59,20.59,20.59,980.86,980.86,980.86,0.937,0.937,0.937,1
New Tinafort,error,28.91,28.91,28.91,1003.06,1003.06,1003.06,0.303,0.303,0.303,1
North Alex,active,26.49,26.49,26.49,980.78,980.78,980.78,0.827,0.827,0.827,1
North Amber,active,21.42,21.42,21.42,999.04,999.04,999.04,0.082,0.082,0.082,1
North Erikton,error,30.14,30.14,30.14,1006.15,1006.15,1006.15,0.531,0.531,0.531,1
North James,error,21.73,21.73,21.73,1013.5,1013.5,1013.5,0.273,0.273,0.273,1
North Jamesfurt,maintenance,27.25,27.25,27.25,1003.39,1003.39,1003.39,0.325,0.325,0.325,1
North Kaitlynshire,maintenance,33.95,33.95,33.95,1013.27,1013.27,1013.27,0.574,0.574,0.574,1
North Paul,error,24.5,24.5,24.5,1005.16,1005.16,1005.16,0.118,0.118,0.118,1
North Paula,maintenance,20.24,20.24,20.24,1002.77,1002.77,1002.77,0.029,0.029,0.029,1
North Ryan,active,20.81,20.81,20.81,1000.18,1000.18,1000.18,0.318,0.318,0.318,1
Pattersonside,error,33.69,33.69,33.69,994.95,994.95,994.95,0.247,0.247,0.247,1
Port Andrew,maintenance,30.83,30.83,30.83,1003.74,1003.74,1003.74,0.581,0.581,0.581,1
Port Dennisbury,maintenance,28.69,28.69,28.69,998.3,998.3,998.3,0.547,0.547,0.547,1
Port Ericmouth,active,23.5,23.5,23.5,1014.04,1014.04,1014.04,0.489,0.489,0.489,1
Port Jason,active,22.33,22.33,22.33,995.22,995.22,995.22,0.666,0.666,0.666,1
Port Julie,maintenance,23.03,23.03,23.03,1014.15,1014.15,1014.15,0.669,0.669,0.669,1
Port Lauraberg,error,25.1,25.1,25.1,1011.46,1011.46,1011.46,0.477,0.477,0.477,1
Port Paulaview,active,27.21,27.21,27.21,1008.92,1008.92,1008.92,0.906,0.906,0.906,1
Port Seanport,error,28.26,28.26,28.26,1007.15,1007.15,1007.15,0.571,0.571,0.571,1
Port Tonyastad,active,34.24,34.24,34.24,1007.8,1007.8,1007.8,0.024,0.024,0.024,1
Quinntown,maintenance,31.2,31.2,31.2,995.46,995.46,995.46,0.991,0.991,0.991,1
Raymondburgh,maintenance,29.2,29.2,29.2,999.24,999.24,999.24,0.898,0.898,0.898,1
Richardberg,maintenance,23.17,23.17,23.17,1002.49,1002.49,1002.49,0.087,0.087,0.087,1
Rosemouth,maintenance,28.21,28.21,28.21,980.0,980.0,980.0,0.2,0.2,0.2,1
Sarabury,active,29.81,29.81,29.81,990.3,990.3,990.3,0.179,0.179,0.179,1
Scotthaven,active,25.85,25.85,25.85,998.69,998.69,998.69,0.103,0.103,0.103,1
Seantown,error,31.36,31.36,31.36,1018.12,1018.12,1018.12,0.523,0.523,0.523,1
South Bethany,error,20.43,20.43,20.43,1010.92,1010.92,1010.92,0.691,0.691,0.691,1
South Kelsey,maintenance,28.3,28.3,28.3,1017.54,1017.54,1017.54,0.009,0.009,0.009,1
South Loritown,error,30.25,30.25,30.25,987.13,987.13,987.13,0.567,0.567,0.567,1
South Samanthastad,active,29.65,29.65,29.65,1017.34,1017.34,1017.34,0.328,0.328,0.328,1
South Stevestad,error,20.36,20.36,20.36,1000.75,1000.75,1000.75,0.788,0.788,0.788,1
South William,active,28.64,28.64,28.64,1012.34,1012.34,1012.34,0.802,0.802,0.802,1
Stephenstad,error,29.62,29.62,29.62,985.56,985.56,985.56,0.193,0.193,0.193,1
Thomasborough,active,20.91,20.91,20.91,982.06,982.06,982.06,0.127,0.127,0.127,1
Vazquezchester,maintenance,20.25,20.25,20.25,984.56,984.56,984.56,0.214,0.214,0.214,1
West Amy,active,31.42,31.42,31.42,996.05,996.05,996.05,0.727,0.727,0.727,1
West Georgemouth,maintenance,29.0,29.0,29.0,1019.41,1019.41,1019.41,0.024,0.024,0.024,1
West Kimberly,error,32.18,32.18,32.18,983.11,983.11,983.11,0.058,0.058,0.058,1
West Theresa,error,32.06,32.06,32.06,995.1,995.1,995.1,0.659,0.659,0.659,1
Wheelerberg,error,22.31,22.31,22.31,1012.96,1012.96,1012.96,0.143,0.143,0.143,1
Williamshire,active,23.64,23.64,23.64,996.52,996.52,996.52,0.629,0.629,0.629,1
