location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Hicksshire,maintenance,32.7,32.7,32.7,986.76,986.76,986.76,0.755,0.755,0.755,1
Hollyside,error,25.41,25.41,25.41,1014.73,1014.73,1014.73,0.375,0.375,0.375,1
Jamesshire,maintenance,22.81,22.81,22.81,1016.03,1016.03,1016.03,0.802,0.802,0.802,1
Jamesside,maintenance,33.08,33.08,33.08,980.05,980.05,980.05,0.493,0.493,0.493,1
Johnmouth,maintenance,30.16,30.16,30.16,1015.03,1015.03,1015.03,0.585,0.585,0.585,1
Johnsonland,active,30.15,30.15,30.15,1013.19,1013.19,1013.19,0.631,0.631,0.631,1
Kellyton,maintenance,32.99,32.99,32.99,993.21,993.21,993.21,0.695,0.695,0.695,1
Kennedytown,maintenance,31.88,31.88,31.88,990.64,990.64,990.64,0.754,0.754,0.754,1
Kristenville,active,31.5,31.5,31.5,1006.89,1006.89,1006.89,0.18,0.18,0.18,1
Lake Amystad,maintenance,33.45,33.45,33.45,997.45,997.45,997.45,0.231,0.231,0.231,1
Lake Jenniferview,error,21.07,21.07,21.07,1005.8,1005.8,1005.8,0.359,0.359,0.359,1
Lake Joseph,maintenance,20.29,20.29,20.29,1018.36,1018.36,1018.36,0.763,0.763,0.763,1
Lawsonberg,maintenance,28.34,28.34,28.34,1012.89,1012.89,1012.89,0.167,0.167,0.167,1
Loriberg,error,23.96,23.96,23.96,998.59,998.59,998.59,0.041,0.041,0.041,1
Loriburgh,error,21.4,21.4,21.4,980.21,980.21,980.21,0.896,0.896,0.896,1
Lucasfort,active,22.62,22.62,22.62,1001.14,1001.14,1001.14,0.214,0.214,0.214,1
Malonemouth,error,34.53,34.53,34.53,981.28,981.28,981.28,0.134,0.134,0.134,1
Millerville,maintenance,27.88,27.88,27.88,992.0,992.0,992.0,0.213,0.213,0.213,1
Millsfort,error,27.45,27.45,27.45,985.98,985.98,985.98,0.361,0.361,0.361,1
Moniquetown,active,33.49,33.49,33.49,1012.14,1012.14,1012.14,0.534,0.534,0.534,1
New Charles,error,25.31,25.31,25.31,1008.55,1008.55,1008.55,0.284,0.284,0.284,1
New David,error,31.58,31.58,31.58,988.41,988.41,988.41,0.378,0.378,0.378,1
New Deborahborough,active,33.68,33.68,33.68,1012.47,1012.47,1012.47,0.297,0.297,0.297,1
New Denisemouth,active,28.57,28.57,28.57,1008.15,1008.15,1008.15,0.073,0.073,0.073,1
New Diana,error,31.88,31.88,31.88,1005.73,1005.73,1005.73,0.274,0.274,0.274,1
New Elizabethland,active,34.64,34.64,34.64,1015.87,1015.87,1015.87,0.604,0.604,0.604,1
New Isabelmouth,active,30.46,30.46,30.46,1007.92,1007.92,1007.92,0.525,0.525,0.525,1
New Jennifer,error,23.9,23.9,23.9,1012.52,1012.52,1012.52,0.072,0.072,0.072,1
New Michelle,active,29.95,29.95,29.95,1010.89,1010.89,1010.89,0.885,0.885,0.885,1
New Patriciaside,maintenance,32.64,32.64,32.64,1019.49,1019.49,1019.49,0.9,0.9,0.9,1
New Ricardoport,active,30.17,30.17,30.17,997.94,997.94,997.94,0.201,0.201,0.201,1
New Robinborough,active,24.59,24.59,24.59,991.46,991.46,991.46,0.64,0.64,0.64,1
North Angela,maintenance,32.28,32.28,32.28,1008.38,1008.38,1008.38,0.058,0.058,0.058,1
North Christopher,maintenance,25.22,25.22,25.22,987.69,987.69,987.69,0.209,0.209,0.209,1
North Davidhaven,maintenance,29.36,29.36,29.36,1008.7,1008.7,1008.7,0.48,0.48,0.48,1
North Denisehaven,active,27.8,27.8,27.8,1011.3,1011.3,1011.3,0.834,0.834,0.834,1
North Ianshire,maintenance,29.58,29.58,29.58,999.94,999.94,999.94,0.908,0.908,0.908,1
North Jenniferport,error,26.94,26.94,26.94,985.5,985.5,985.5,0.759,0.759,0.759,1
North Jenny,maintenance,28.03,28.03,28.03,981.83,981.83,981.83,0.16,0.16,0.16,1
North Johnport,active,34.85,34.85,34.85,994.07,994.07,994.07,0.883,0.883,0.883,1
North Joy,maintenance,21.29,21.29,21.29,1005.4,1005.4,1005.4,0.98,0.98,0.98,1
North Larry,maintenance,31.64,31.64,31.64,1011.99,1011.99,1011.99,0.405,0.405,0.405,1
North Lorihaven,active,27.73,27.73,27.73,1009.06,1009.06,1009.06,0.86,0.86,0.86,1
North Marvin,error,31.57,31.57,31.57,996.02,996.02,996.02,0.744,0.744,0.744,1
North Roberttown,active,26.51,26.51,26.51,998.23,998.23,998.23,0.881,0.881,0.881,1
North Ronaldfort,active,22.48,22.48,22.48,1004.37,1004.37,1004.37,0.029,0.029,0.029,1
Perezmouth,maintenance,26.13,26.13,26.13,1010.11,1010.11,1010.11,0.8,0.8,0.8,1
Petersenland,maintenance,32.08,32.08,32.08,1018.1,1018.1,1018.1,0.57,0.57,0.57,1
Port Amanda,error,33.91,33.91,33.91,983.64,983.64,983.64,0.246,0.246,0.246,1
Port Jeffreymouth,active,25.08,25.08,25.08,1013.0,1013.0,1013.0,0.08,0.08,0.08,1
Port Pamelafort,active,30.76,30.76,30.76,1012.87,1012.87,1012.87,0.941,0.941,0.941,1
Port Patrickland,maintenance,26.13,26.13,26.13,1000.16,1000.16,1000.16,0.439,0.439,0.439,1
Port Patrickport,active,29.55,29.55,29.55,993.35,993.35,993.35,0.639,0.639,0.639,1
Port Rhondahaven,maintenance,28.27,28.27,28.27,1015.03,1015.03,1015.03,0.438,0.438,0.438,1
Robinsonport,active,22.49,22.49,22.49,1011.61,1011.61,1011.61,0.665,0.665,0.665,1
Ronaldton,error,26.91,26.91,26.91,995.36,995.36,995.36,0.68,0.68,0.68,1
Sandovalchester,active,32.09,32.09,32.09,986.39,986.39,986.39,0.987,0.987,0.987,1
South Annette,error,28.1,28.1,28.1,1013.28,1013.28,1013.28,0.075,0.075,0.075,1
South Christine,maintenance,26.46,26.46,26.46,989.66,989.66,989.66,0.375,0.375,0.375,1
South Edward,maintenance,22.27,22.27,22.27,1007.96,1007.96,1007.96,0.55,0.55,0.55,1
South Frederick,error,24.66,24.66,24.66,991.07,991.07,991.07,0.153,0.153,0.153,1
South Gregoryfort,error,31.15,31.15,31.15,982.61,982.61,982.61,0.93,0.93,0.93,1
South Patricia,maintenance,20.92,20.92,20.92,981.64,981.64,981.64,0.473,0.473,0.473,1
South Shannonland,active,21.59,21.59,21.59,998.2,998.2,998.2,0.944,0.944,0.944,1
South Susan,error,29.51,29.51,29.51,988.41,988.41,988.41,0.971,0.971,0.971,1
South Tiffanystad,maintenance,31.31,31.31,31.31,986.46,986.46,986.46,0.908,0.908,0.908,1
Stephenfurt,error,25.12,25.12,25.12,1017.31,1017.31,1017.31,0.998,0.998,0.998,1
Stephensland,active,30.52,30.52,30.52,1005.96,1005.96,1005.96,0.415,0.415,0.415,1
Valenzuelamouth,maintenance,28.2,28.2,28.2,1006.4,1006.4,1006.4,0.129,0.129,0.129,1
Vaughnville,maintenance,30.92,30.92,30.92,986.18,986.18,986.18,0.41,0.41,0.41,1
West Allisonberg,active,32.85,32.85,32.85,987.87,987.87,987.87,0.584,0.584,0.584,1
West Alyssa,error,27.81,27.81,27.81,980.55,980.55,980.55,0.953,0.953,0.953,1
West Arthurmouth,active,24.4,24.4,24.4,1017.52,1017.52,1017.52,0.384,0.384,0.384,1
West Duane,maintenance,28.93,28.93,28.93,982.63,982.63,982.63,0.516,0.516,0.516,1
West Ericfort,maintenance,28.91,28.91,28.91,1019.68,1019.68,1019.68,0.929,0.929,0.929,1
West James,active,31.41,31.41,31.41,1003.01,1003.01,1003.01,0.885,0.885,0.885,1
West Samuel,maintenance,26.7,26.7,26.7,1003.14,1003.14,1003.14,0.167,0.167,0.167,1
West Terristad,maintenance,32.72,32.72,32.72,1017.87,1017.87,1017.87,0.55,0.55,0.55,1
