location_,status_,temperature_mean,temperature_min,temperature_max,pressure_mean,pressure_min,pressure_max,vibration_mean,vibration_min,vibration_max,sensor_id_count
Michaelfurt,active,27.7,27.7,27.7,1017.88,1017.88,1017.88,0.001,0.001,0.001,1
Mirandafort,active,33.16,33.16,33.16,1000.63,1000.63,1000.63,0.382,0.382,0.382,1
Morrisville,maintenance,31.26,31.26,31.26,1000.74,1000.74,1000.74,0.28,0.28,0.28,1
New Cole,maintenance,21.02,21.02,21.02,1015.77,1015.77,1015.77,0.021,0.021,0.021,1
New Jamesbury,maintenance,24.65,24.65,24.65,984.24,984.24,984.24,0.881,0.881,0.881,1
New Jordanfurt,error,33.47,33.47,33.47,993.61,993.61,993.61,0.958,0.958,0.958,1
New Marystad,maintenance,25.2,25.2,25.2,991.01,991.01,991.01,0.602,0.602,0.602,1
New Michaelburgh,active,29.44,29.44,29.44,1014.01,1014.01,1014.01,0.667,0.667,0.667,1
New Rachelburgh,maintenance,26.3,26.3,26.3,998.3,998.3,998.3,0.239,0.239,0.239,1
New Sarahaven,maintenance,22.73,22.73,22.73,1011.92,1011.92,1011.92,0.27,0.27,0.27,1
New Tiffany,active,21.26,21.26,21.26,982.72,982.72,982.72,0.05,0.05,0.05,1
Newmanview,error,30.88,30.88,30.88,984.52,984.52,984.52,0.45,0.45,0.45,1
North Annfort,active,30.42,30.42,30.42,987.06,987.06,987.06,0.958,0.958,0.958,1
North Carly,active,26.54,26.54,26.54,1017.32,1017.32,1017.32,0.825,0.825,0.825,1
North Christopherland,active,26.31,26.31,26.31,1014.04,1014.04,1014.04,0.453,0.453,0.453,1
North Darrellmouth,active,20.03,20.03,20.03,1014.96,1014.96,1014.96,0.79,0.79,0.79,1
North Elizabethstad,active,33.44,33.44,33.44,1018.79,1018.79,1018.79,0.831,0.831,0.831,1
North Jessicaberg,error,20.96,20.96,20.96,1008.5,1008.5,1008.5,0.37,0.37,0.37,1
North Nathanview,maintenance,32.48,32.48,32.48,1004.53,1004.53,1004.53,0.081,0.081,0.081,1
North Robert,error,25.27,25.27,25.27,1003.47,1003.47,1003.47,0.096,0.096,0.096,1
North Susanborough,maintenance,21.87,21.87,21.87,980.76,980.76,980.76,0.148,0.148,0.148,1
Osbornville,maintenance,34.23,34.23,34.23,1015.97,1015.97,1015.97,0.213,0.213,0.213,1
Pattersonfort,active,21.31,21.31,21.31,980.83,980.83,980.83,0.35,0.35,0.35,1
Port Albert,maintenance,27.22,27.22,27.22,999.28,999.28,999.28,0.66,0.66,0.66,1
Port Christine,error,33.24,33.24,33.24,1003.7,1003.7,1003.7,0.763,0.763,0.763,1
Port Jacob,error,34.2,34.2,34.2,1018.78,1018.78,1018.78,0.953,0.953,0.953,1
Port Johnborough,error,27.2,27.2,27.2,987.66,987.66,987.66,0.728,0.728,0.728,1
Port Nicholas,error,23.5,23.5,23.5,1016.39,1016.39,1016.39,0.722,0.722,0.722,1
Port Pam,maintenance,25.91,25.91,25.91,1008.78,1008.78,1008.78,0.596,0.596,0.596,1
Reyesberg,active,28.64,28.64,28.64,982.3,982.3,982.3,0.829,0.829,0.829,1
Reyesview,maintenance,21.02,21.02,21.02,1008.26,1008.26,1008.26,0.488,0.488,0.488,1
Scottview,active,32.69,32.69,32.69,980.0,980.0,980.0,0.92,0.92,0.92,1
Seanshire,error,23.49,23.49,23.49,1018.29,1018.29,1018.29,0.822,0.822,0.822,1
Sharonport,active,23.74,23.74,23.74,1010.87,1010.87,1010.87,0.252,0.252,0.252,1
Sheltonburgh,maintenance,28.67,28.67,28.67,1013.93,1013.93,1013.93,0.052,0.052,0.052,1
Sonyabury,maintenance,20.49,20.49,20.49,1019.67,1019.67,1019.67,0.47,0.47,0.47,1
South Luismouth,active,32.96,32.96,32.96,983.81,983.81,983.81,0.056,0.056,0.056,1
South Nicole,active,34.61,34.61,34.61,999.09,999.09,999.09,0.519,0.519,0.519,1
South Sherritown,active,21.64,21.64,21.64,1011.93,1011.93,1011.93,0.185,0.185,0.185,1
Thompsontown,error,29.03,29.03,29.03,998.55,998.55,998.55,0.37,0.37,0.37,1
Toddchester,error,30.56,30.56,30.56,1007.36,1007.36,1007.36,0.977,0.977,0.977,1
Toddmouth,error,21.11,21.11,21.11,1015.35,1015.35,1015.35,0.023,0.023,0.023,1
Torresport,error,33.43,33.43,33.43,1019.54,1019.54,1019.54,0.456,0.456,0.456,1
Torrestown,error,32.52,32.52,32.52,1012.11,1012.11,1012.11,0.474,0.474,0.474,1
West Adamberg,maintenance,33.94,33.94,33.94,1000.38,1000.38,1000.38,0.446,0.446,0.446,1
West Adriana,error,20.67,20.67,20.67,1015.29,1015.29,1015.29,0.63,0.63,0.63,1
West Alishafort,error,31.79,31.79,31.79,997.65,997.65,997.65,0.706,0.706,0.706,1
West Andrew,error,28.39,28.39,28.39,980.5,980.5,980.5,0.629,0.629,0.629,1
West Daniel,error,30.98,30.98,30.98,999.13,999.13,999.13,0.763,0.763,0.763,1
West Darrylport,error,23.18,23.18,23.18,1008.25,1008.25,1008.25,0.515,0.515,0.515,1
West Diana,error,29.93,29.93,29.93,982.48,982.48,982.48,0.515,0.515,0.515,1
West Jamieview,error,24.03,24.03,24.03,1009.33,1009.33,1009.33,0.196,0.196,0.196,1
West Jason,maintenance,26.07,26.07,26.07,1016.49,1016.49,1016.49,0.687,0.687,0.687,1
West Johnny,error,27.1,27.1,27.1,980.96,980.96,980.96,0.939,0.939,0.939,1
West Rachel,active,22.37,22.37,22.37,1018.89,1018.89,1018.89,0.3,0.3,0.3,1
West Rebecca,active,25.35,25.35,25.35,980.31,980.31,980.31,0.362,0.362,0.362,1
West Sabrina,maintenance,23.23,23.23,23.23,992.88,992.88,992.88,0.597,0.597,0.597,1
West Thomasshire,active,22.07,22.07,22.07,993.46,993.46,993.46,0.336,0.336,0.336,1
Wilcoxville,error,30.87,30.87,30.87,985.95,985.95,985.95,0.883,0.883,0.883,1
Williamsville,maintenance,21.73,21.73,21.73,983.96,983.96,983.96,0.611,0.611,0.611,1
